CUDA_VISIBLE_DEVICES=0 python breakout.py -r 25 -o Ostap
Using TensorFlow backend.
2018-10-24 22:30:11.788911: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2018-10-24 22:30:11.859568: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:964] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2018-10-24 22:30:11.860009: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1411] Found device 0 with properties: 
name: GeForce GTX 980 major: 5 minor: 2 memoryClockRate(GHz): 1.2785
pciBusID: 0000:01:00.0
totalMemory: 3.94GiB freeMemory: 3.26GiB
2018-10-24 22:30:11.860043: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1490] Adding visible gpu devices: 0
2018-10-24 22:30:12.091320: I tensorflow/core/common_runtime/gpu/gpu_device.cc:971] Device interconnect StreamExecutor with strength 1 edge matrix:
2018-10-24 22:30:12.091363: I tensorflow/core/common_runtime/gpu/gpu_device.cc:977]      0 
2018-10-24 22:30:12.091372: I tensorflow/core/common_runtime/gpu/gpu_device.cc:990] 0:   N 
2018-10-24 22:30:12.091512: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1103] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 2978 MB memory) -> physical GPU (device: 0, name: GeForce GTX 980, pci bus id: 0000:01:00.0, compute capability: 5.2)
Episode: 249/4000000, score: 1.0, epsilon:1.0
Episode: 250/4000000, score: 3.0, epsilon:1.0
Episode: 251/4000000, score: 3.0, epsilon:1.0
Episode: 252/4000000, score: 2.0, epsilon:1.0
Episode: 253/4000000, score: 1.0, epsilon:1.0
Episode: 254/4000000, score: 2.0, epsilon:1.0
Episode: 255/4000000, score: 0.0, epsilon:1.0
Episode: 256/4000000, score: 1.0, epsilon:1.0
Episode: 257/4000000, score: 1.0, epsilon:1.0
Episode: 258/4000000, score: 0.0, epsilon:1.0
Episode: 259/4000000, score: 0.0, epsilon:1.0
Episode: 260/4000000, score: 3.0, epsilon:1.0
Episode: 261/4000000, score: 2.0, epsilon:1.0
Episode: 262/4000000, score: 4.0, epsilon:1.0
Episode: 263/4000000, score: 0.0, epsilon:1.0
Episode: 264/4000000, score: 1.0, epsilon:1.0
Episode: 265/4000000, score: 0.0, epsilon:1.0
Episode: 266/4000000, score: 2.0, epsilon:1.0
Episode: 267/4000000, score: 4.0, epsilon:1.0
Episode: 268/4000000, score: 1.0, epsilon:1.0
Episode: 269/4000000, score: 4.0, epsilon:1.0
Episode: 270/4000000, score: 0.0, epsilon:1.0
Episode: 271/4000000, score: 0.0, epsilon:1.0
Episode: 272/4000000, score: 4.0, epsilon:1.0
Episode: 273/4000000, score: 1.0, epsilon:1.0
Episode: 274/4000000, score: 1.0, epsilon:1.0
Episode: 275/4000000, score: 3.0, epsilon:1.0
Episode: 276/4000000, score: 2.0, epsilon:1.0
Episode: 277/4000000, score: 2.0, epsilon:1.0
Episode: 278/4000000, score: 0.0, epsilon:1.0
Episode: 279/4000000, score: 0.0, epsilon:1.0
Episode: 280/4000000, score: 2.0, epsilon:1.0
Episode: 281/4000000, score: 0.0, epsilon:1.0
Episode: 282/4000000, score: 3.0, epsilon:1.0
Episode: 283/4000000, score: 2.0, epsilon:1.0
Episode: 284/4000000, score: 2.0, epsilon:1.0
Episode: 285/4000000, score: 2.0, epsilon:1.0
Episode: 286/4000000, score: 0.0, epsilon:1.0
Episode: 287/4000000, score: 1.0, epsilon:1.0
Episode: 288/4000000, score: 0.0, epsilon:1.0
Episode: 289/4000000, score: 1.0, epsilon:1.0
Episode: 290/4000000, score: 0.0, epsilon:1.0
Episode: 291/4000000, score: 0.0, epsilon:1.0
Episode: 292/4000000, score: 4.0, epsilon:1.0
Episode: 293/4000000, score: 0.0, epsilon:1.0
Episode: 294/4000000, score: 2.0, epsilon:1.0
Episode: 295/4000000, score: 1.0, epsilon:1.0
Episode: 296/4000000, score: 0.0, epsilon:1.0
